Tax Year,Credit Type,Place of Residence,County,Notes,"Number of Claims, Total","Credit Amount Claimed, Total ($000)","Average Credit, Total","Number of Claims, One Qualifying Person","Credit Amount Claimed, One Qualifying Person ($000)","Average Credit, One Qualifying Person","Number of Claims, Two or More Qualifying Persons","Credit Amount Claimed, Two or More Qualifying Persons ($000)","Average Credit, Two or More Qualifying Persons","Number of Claims, Two Qualifying Persons","Credit Amount Claimed, Two Qualifying Persons ($000)","Average Credit, Two Qualifying Persons","Number of Claims, Three or More Qualifying Persons","Credit Amount Claimed, Three or More Qualifying Persons ($000)","Average Credit, Three or More Qualifying Persons","Number of Claims, Single Filing Status","Credit Amount Claimed, Single Filing Status ($000)","Average Credit, Single Filing Status","Number of Claims, MFJ & QW Filing Status *","Credit Amount Claimed, MFJ & QW Filing Status ($000) *","Average Credit, MFJ & QW Filing Status *","Number of Claims, Head of Household Filing Status","Credit Amount Claimed, Head of Household Filing Status ($000)","Average Credit, Head of Household Filing Status",Place of Residence Sort Order
2018,NYC CDCC,New York City - Bronx,Bronx,,4560,1948.02,427.2,,,,,,,,,,,,,,,,,,,,,,1
2018,NYC CDCC,New York City - Kings,Kings,,5133,2241.818,436.75,,,,,,,,,,,,,,,,,,,,,,2
2018,NYC CDCC,New York City - Manhattan,Manhattan,,1704,702.196,412.09,,,,,,,,,,,,,,,,,,,,,,3
2018,NYC CDCC,New York City - Queens,Queens,,2626,1208.079,460.05,,,,,,,,,,,,,,,,,,,,,,4
2018,NYC CDCC,New York City - Richmond,Richmond,,426,191.118,448.63,,,,,,,,,,,,,,,,,,,,,,5
2018,NYC CDCC,All Other +,Not Applicable,,475,145.399,306.1,,,,,,,,,,,,,,,,,,,,,,66
2018,NYC CDCC,Grand Total,Grand Total,,14924,6436.63,431.29,,,,,,,,,,,,,,,,,,,,,,70
2018,NYS CDCC,New York City - Bronx,Bronx,,38241,22893.53,598.66,29831,16050.443,538.05,,,,7692,6249.496,812.47,718,593.591,826.73,2973,2091.351,703.45,6798,2751.228,404.71,28470,18050.951,634.03,1
2018,NYS CDCC,New York City - Kings,Kings,,63267,31615.501,499.72,44222,20103.967,454.61,,,,16510,9669.187,585.66,2535,1842.347,726.76,1692,1078.969,637.69,28343,10944.536,386.15,33232,19591.996,589.55,2
2018,NYS CDCC,New York City - Manhattan,Manhattan,,32678,11931.228,365.12,20843,7748.373,371.75,,,,10811,3777.638,349.43,1024,405.217,395.72,1298,852.995,657.16,17755,3560.441,200.53,13625,7517.792,551.76,3
2018,NYS CDCC,New York City - Queens,Queens,,45466,22500.845,494.89,32006,14396.238,449.8,,,,12134,7286.457,600.5,1326,818.15,617.01,1028,694.152,675.25,21383,7977.868,373.09,23055,13828.825,599.82,4
2018,NYS CDCC,New York City - Richmond,Richmond,,9593,3879.488,404.41,6295,2278.6,361.97,,,,2958,1424.207,481.48,340,176.681,519.65,143,83.74,585.59,5447,1573.225,288.82,4003,2222.523,555.21,5
